antiguo / antigua	ancien / ancienne	[sound:ancien _ ancienne.mp3]
habitación	la chambre	[sound:la chambre.mp3]
suerte	la chance	[sound:la chance.mp3]
cosa	la chose	[sound:la chose.mp3]
clase	la classe	[sound:la classe.mp3]
confianza	la confiance	[sound:la confiance.mp3]
color	la couleur	[sound:la couleur.mp3]
patio	la cour	[sound:la cour.mp3]
cocina	la cuisine	[sound:la cuisine.mp3]
señora	la dame	[sound:la dame.mp3]
diente	la dent	[sound:la dent.mp3]
derecha	la droite	[sound:la droite.mp3]
escuela	l'école	[sound:l'école.mp3]
iglesia	l'église	[sound:l'église.mp3]
ganas	l'envie	[sound:l'envie.mp3]
hombro	l'épaule	[sound:l'épaule.mp3]
época	l'époque	[sound:l'époque.mp3]
equipo	l'équipe	[sound:l'équipe.mp3]
error	l'erreur	[sound:l'erreur.mp3]
especie	l'espèce	[sound:l'espèce.mp3]
cara	la face	[sound:la face.mp3]
manera	la façon	[sound:la façon.mp3]
hambre	la faim	[sound:la faim.mp3]
familia	la famille	[sound:la famille.mp3]
culpa	la faute	[sound:la faute.mp3]
mujer	la femme	[sound:la femme.mp3]
ventana	la fenêtre	[sound:la fenêtre.mp3]
fiesta	la fête	[sound:la fête.mp3]
chica	la fille	[sound:la fille.mp3]
flor	la fleur	[sound:la fleur.mp3]
vez	la fois	[sound:la fois.mp3]
fuerza	la force	[sound:la force.mp3]
forma	la forme	[sound:la forme.mp3]
izquierda	la gauche	[sound:la gauche.mp3]
guerra	la guerre	[sound:la guerre.mp3]
boca (animales)	la gueule	[sound:la gueule.mp3]
costumbre	la habitude	[sound:la habitude.mp3]
hora	la heure	[sound:la heure.mp3]
historia	la histoire	[sound:la histoire.mp3]
idea	l'idée	[sound:l'idée.mp3]
imagen	l'image	[sound:l'image.mp3]
impresión	l'impression	[sound:l'impression.mp3]
pierna	la jambe	[sound:la jambe.mp3]
alegría	la joie	[sound:la joie.mp3]
diá	la journée	[sound:la journée.mp3]
lengua	la langue	[sound:la langue.mp3]
letra	la lettre	[sound:la lettre.mp3]
labio	la lèvre	[sound:la lèvre.mp3]
línea	la ligne	[sound:la ligne.mp3]
luz	la lumière	[sound:la lumière.mp3]
señora	la madame	[sound:la madame.mp3]
mano	la main	[sound:la main.mp3]
casa	la maison	[sound:la maison.mp3]
mamá	la maman	[sound:la maman.mp3]
manera	la manière	[sound:la manière.mp3]
escalón	la marche	[sound:la marche.mp3]
mierda	la merde	[sound:la merde.mp3]
madre	la mère	[sound:la mère.mp3]
minuto	la minute	[sound:la minute.mp3]
música	la musique	[sound:la musique.mp3]
noche	la nuit	[sound:la nuit.mp3]
olor	l'odeur	[sound:l'odeur.mp3]
sombra	l'ombre	[sound:l'ombre.mp3]
oreja	l'oreille	[sound:l'oreille.mp3]
paz	la paix	[sound:la paix.mp3]
palabra	la parole	[sound:la parole.mp3]
parte	la part	[sound:la part.mp3]
parte	la partie	[sound:la partie.mp3]
piel	la peau	[sound:la peau.mp3]
pena	la peine	[sound:la peine.mp3]
pensamiento	la pensée	[sound:la pensée.mp3]
persona	la personne	[sound:la personne.mp3]
miedo	la peur	[sound:la peur.mp3]
foto	la photo	[sound:la photo.mp3]
pieza	la pièce	[sound:la pièce.mp3]
piedra	la pierre	[sound:la pierre.mp3]
plaza	la place	[sound:la place.mp3]
bolsillo	la poche	[sound:la poche.mp3]
policía	la police	[sound:la police.mp3]
puerta	la porte	[sound:la porte.mp3]
presencia	la présence	[sound:la présence.mp3]
cárcel	la prison	[sound:la prison.mp3]
prostituta	la putain	[sound:la putain.mp3]
cuestión	la question	[sound:la question.mp3]
razón	la raison	[sound:la raison.mp3]
respuesta	la réponse	[sound:la réponse.mp3]
vestido	la robe	[sound:la robe.mp3]
carretera	la route	[sound:la route.mp3]
sala	la salle	[sound:la salle.mp3]
escena	la scène	[sound:la scène.mp3]
segundo	la seconde	[sound:la seconde.mp3]
seguridad	la sécurité	[sound:la sécurité.mp3]
semana	la semaine	[sound:la semaine.mp3]
situación	la situation	[sound:la situation.mp3]
hermana	la soeur	[sound:la soeur.mp3]
noche	la soirée	[sound:la soirée.mp3]
tipo	la sorte	[sound:la sorte.mp3]
seguida	la suite	[sound:la suite.mp3]
mesa	la table	[sound:la table.mp3]
tierra	la terre	[sound:la terre.mp3]
cabeza	la tête	[sound:la tête.mp3]
torre	la tour	[sound:la tour.mp3]
verdad	la vérité	[sound:la vérité.mp3]
ciudad	la ville	[sound:la ville.mp3]
coche	la voiture	[sound:la voiture.mp3]
voz	la voix	[sound:la voix.mp3]
acuerdo	l'accord	[sound:l'accord.mp3]
agente	l'agent	[sound:l'agent.mp3]
amor	l'amour	[sound:l'amour.mp3]
llamada	l'appel	[sound:l'appel.mp3]
árbol	l'arbre	[sound:l'arbre.mp3]
dinero	l'argent	[sound:l'argent.mp3]
futuro	l'avenir	[sound:l'avenir.mp3]
avión	l'avion	[sound:l'avion.mp3]
opinión	l'avis	[sound:l'avis.mp3]
barco	le bateau	[sound:le bateau.mp3]
bebé	le bébé	[sound:le bébé.mp3]
necesidad	le besoin	[sound:le besoin.mp3]
madera	le bois	[sound:le bois.mp3]
alegría	le bonheur	[sound:le bonheur.mp3]
buenos días	le bonjour	[sound:le bonjour.mp3]
orilla	le bord	[sound:le bord.mp3]
trabajo (coloquial)	le boulot	[sound:le boulot.mp3]
trozo	le bout	[sound:le bout.mp3]
brazo	le bras	[sound:le bras.mp3]
ruido	le bruit	[sound:le bruit.mp3]
despcho	le bureau	[sound:le bureau.mp3]
café	le café	[sound:le café.mp3]
campo	le camp	[sound:le camp.mp3]
capitán	le capitaine	[sound:le capitaine.mp3]
gato	le chat	[sound:le chat.mp3]
jefe	le chef	[sound:le chef.mp3]
camino	le chemin	[sound:le chemin.mp3]
cariño	le chéri	[sound:le chéri.mp3]
caballo	le cheval	[sound:le cheval.mp3]
pelo	le cheveu	[sound:le cheveu.mp3]
perro	le chien	[sound:le chien.mp3]
elección	le choix	[sound:le choix.mp3]
cielo	le ciel	[sound:le ciel.mp3]
cliente	le client	[sound:le client.mp3]
corazón	le cœur	[sound:le cœur.mp3]
esquina	le coin	[sound:le coin.mp3]
coronel	le colonel	[sound:le colonel.mp3]
cuenta	le compte	[sound:le compte.mp3]
novio	le copain	[sound:le copain.mp3]
cuerpo	le corps	[sound:le corps.mp3]
lado	le côté	[sound:le côté.mp3]
golpe	le coup	[sound:le coup.mp3]
corriente	le courant	[sound:le courant.mp3]
clase	le cours	[sound:le cours.mp3]
inicio	le début	[sound:le début.mp3]
partida	le départ	[sound:le départ.mp3]
dios	le dieu	[sound:le dieu.mp3]
doctor	le docteur	[sound:le docteur.mp3]
dedo	le doigt	[sound:le doigt.mp3]
dólar	le dollar	[sound:le dollar.mp3]
duda	le doute	[sound:le doute.mp3]
derecho	le droit	[sound:le droit.mp3]
efecto	l'effet	[sound:l'effet.mp3]
lugar	l'endroit	[sound:l'endroit.mp3]
niño	l'enfant	[sound:l'enfant.mp3]
enemigo	l'ennemi	[sound:l'ennemi.mp3]
escalera	l'escalier	[sound:l'escalier.mp3]
mente	l'esprit	[sound:l'esprit.mp3]
estado	l'état	[sound:l'état.mp3]
ser	l'être	[sound:l'être.mp3]
ejemplo	l'exemple	[sound:l'exemple.mp3]
hecho	le fait	[sound:le fait.mp3]
película	le film	[sound:le film.mp3]
hijo	le fils	[sound:le fils.mp3]
policía (coloquial)	le flic	[sound:le flic.mp3]
fondo	le fond	[sound:le fond.mp3]
francés	le français	[sound:le français.mp3]
hermano	le frère	[sound:le frère.mp3]
frente	le front	[sound:le front.mp3]
chico	le garçon	[sound:le garçon.mp3]
guarda	le garde	[sound:le garde.mp3]
chico (coloquial)	le gars	[sound:le gars.mp3]
general	le général	[sound:le général.mp3]
género	le genre	[sound:le genre.mp3]
gente	le gens	[sound:le gens.mp3]
gesto	le geste	[sound:le geste.mp3]
niño (coloquial)	le gosse	[sound:le gosse.mp3]
sabor	le goût	[sound:le goût.mp3]
gobierno	le gouvernement	[sound:le gouvernement.mp3]
grupo	le groupe	[sound:le groupe.mp3]
hombre	le homme	[sound:le homme.mp3]
honor	le honneur	[sound:le honneur.mp3]
hotel	l'hôtel	[sound:l'hôtel.mp3]
momento	l'instant	[sound:l'instant.mp3]
interés	l'intérêt	[sound:l'intérêt.mp3]
interior	l'intérieur	[sound:l'intérieur.mp3]
jardín	le jardin	[sound:le jardin.mp3]
día	le jour	[sound:le jour.mp3]
periódico	le journal	[sound:le journal.mp3]
lugar	le lieu	[sound:le lieu.mp3]
libro	le livre	[sound:le livre.mp3]
maestro	le maître	[sound:le maître.mp3]
marido	le mari	[sound:le mari.mp3]
boda	le mariage	[sound:le mariage.mp3]
la mañana	le matin	[sound:le matin.mp3]
médico	le médecin	[sound:le médecin.mp3]
gracias	le merci	[sound:le merci.mp3]
metro	le mètre	[sound:le mètre.mp3]
medio	le milieu	[sound:le milieu.mp3]
millón	le million	[sound:le million.mp3]
mes	le mois	[sound:le mois.mp3]
momento	le moment	[sound:le moment.mp3]
mundo	le monde	[sound:le monde.mp3]
señor	le monsieur	[sound:le monsieur.mp3]
muerte	le mort	[sound:le mort.mp3]
movimiento	le mouvement	[sound:le mouvement.mp3]
medio	le moyen	[sound:le moyen.mp3]
nuevo	le nouveau	[sound:le nouveau.mp3]
número	le numéro	[sound:le numéro.mp3]
ojo	l'oeil	[sound:l'oeil.mp3]
pájaro	l'oiseau	[sound:l'oiseau.mp3]
tío	l'oncle	[sound:l'oncle.mp3]
orden	l'ordre	[sound:l'ordre.mp3]
papá	le papa	[sound:le papa.mp3]
papel	le papier	[sound:le papier.mp3]
padres	le parent	[sound:le parent.mp3]
paso	le passage	[sound:le passage.mp3]
pasado	le passé	[sound:le passé.mp3]
patrón	le patron	[sound:le patron.mp3]
país	le pays	[sound:le pays.mp3]
padre	le père	[sound:le père.mp3]
pequeño	le petit	[sound:le petit.mp3]
pueblo	le peuple	[sound:le peuple.mp3]
pie	le pied	[sound:le pied.mp3]
placer	le plaisir	[sound:le plaisir.mp3]
plan	le plan	[sound:le plan.mp3]
punto	le point	[sound:le point.mp3]
poder	le pouvoir	[sound:le pouvoir.mp3]
primero	le premier	[sound:le premier.mp3]
presente	le présent	[sound:le présent.mp3]
presidente	le président	[sound:le président.mp3]
príncipe	le prince	[sound:le prince.mp3]
precio	le prix	[sound:le prix.mp3]
problema	le problème	[sound:le problème.mp3]
profesor	le professeur	[sound:le professeur.mp3]
palabras	le propos	[sound:le propos.mp3]
barrio	le quartier	[sound:le quartier.mp3]
relación	le rapport	[sound:le rapport.mp3]
mirada	le regard	[sound:le regard.mp3]
resto	le reste	[sound:le reste.mp3]
retraso	le retard	[sound:le retard.mp3]
vuelta	le retour	[sound:le retour.mp3]
sueño	le rêve	[sound:le rêve.mp3]
saludo	le salut	[sound:le salut.mp3]
sangre	le sang	[sound:le sang.mp3]
secreto	le secret	[sound:le secret.mp3]
señor (espiritual)	le seigneur	[sound:le seigneur.mp3]
sentido	le sens	[sound:le sens.mp3]
sentimiento	le sentiment	[sound:le sentiment.mp3]
servicio	le service	[sound:le service.mp3]
siglo	le siècle	[sound:le siècle.mp3]
señal	le signe	[sound:le signe.mp3]
silencio	le silence	[sound:le silence.mp3]
noche	le soir	[sound:le soir.mp3]
soldado	le soldat	[sound:le soldat.mp3]
sol	le soleil	[sound:le soleil.mp3]
sonrisa	le sourire	[sound:le sourire.mp3]
recuerdo	le souvenir	[sound:le souvenir.mp3]
tema	le sujet	[sound:le sujet.mp3]
teléfono	le téléphone	[sound:le téléphone.mp3]
tiempo	le temps	[sound:le temps.mp3]
todo	le tout	[sound:le tout.mp3]
tren	le train	[sound:le train.mp3]
trabajo	le travail	[sound:le travail.mp3]
rareza	le travers	[sound:le travers.mp3]
hueco	le trou	[sound:le trou.mp3]
cosa (coloquial)	le truc	[sound:le truc.mp3]
tipo	le type	[sound:le type.mp3]
viento	le vent	[sound:le vent.mp3]
barriga	le ventre	[sound:le ventre.mp3]
vaso	le verre	[sound:le verre.mp3]
viejo	le vieux	[sound:le vieux.mp3]
pueblo	le village	[sound:le village.mp3]
cara	le visage	[sound:le visage.mp3]
viaje	le voyage	[sound:le voyage.mp3]
abandonar	abandonner	[sound:abandonner.mp3]
aceptar	accepter	[sound:accepter.mp3]
acompañar	accompagner	[sound:accompagner.mp3]
comprar	acheter	[sound:acheter.mp3]
adorar	adorer	[sound:adorer.mp3]
actuar	agir	[sound:agir.mp3]
ayudar	aider	[sound:aider.mp3]
gustar	aimer	[sound:aimer.mp3]
añadir	ajouter	[sound:ajouter.mp3]
ir	aller	[sound:aller.mp3]
traer	amener	[sound:amener.mp3]
divertir	amuser	[sound:amuser.mp3]
anunciar	annoncer	[sound:annoncer.mp3]
percibir	apercevoir	[sound:apercevoir.mp3]
aparecer	apparaître	[sound:apparaître.mp3]
llamar	appeler	[sound:appeler.mp3]
traer	apporter	[sound:apporter.mp3]
aprender	apprendre	[sound:apprendre.mp3]
acercarse	approcher	[sound:approcher.mp3]
arreglar	arranger	[sound:arranger.mp3]
parar	arrêter	[sound:arrêter.mp3]
llegar	arriver	[sound:arriver.mp3]
sentarse	asseoir	[sound:asseoir.mp3]
asegurar	assurer	[sound:assurer.mp3]
atacar	attaquer	[sound:attaquer.mp3]
alcanzar	atteindre	[sound:atteindre.mp3]
esperar	attendre	[sound:attendre.mp3]
avanzar	avancer	[sound:avancer.mp3]
tener	avoir	[sound:avoir.mp3]
bajar	baisser	[sound:baisser.mp3]
golpear	battre	[sound:battre.mp3]
beber	boire	[sound:boire.mp3]
mover	bouger	[sound:bouger.mp3]
quemar	brûler	[sound:brûler.mp3]
esconder	cacher	[sound:cacher.mp3]
calmar	calmer	[sound:calmer.mp3]
romper	casser	[sound:casser.mp3]
parar	cesser	[sound:cesser.mp3]
cambiar	changer	[sound:changer.mp3]
cantar	chanter	[sound:chanter.mp3]
cargar	charger	[sound:charger.mp3]
buscar	chercher	[sound:chercher.mp3]
elegir	choisir	[sound:choisir.mp3]
empezar	commencer	[sound:commencer.mp3]
entender	comprendre	[sound:comprendre.mp3]
contar	compter	[sound:compter.mp3]
conducir	conduire	[sound:conduire.mp3]
conocer	connaître	[sound:connaître.mp3]
continuar	continuer	[sound:continuer.mp3]
dormir	coucher	[sound:coucher.mp3]
cortar	couper	[sound:couper.mp3]
correr	courir	[sound:courir.mp3]
cubrir	couvrir	[sound:couvrir.mp3]
tener miedo	craindre	[sound:craindre.mp3]
gritar	crier	[sound:crier.mp3]
creer	croire	[sound:croire.mp3]
bailar	danser	[sound:danser.mp3]
decidir	décider	[sound:décider.mp3]
descubrir	découvrir	[sound:découvrir.mp3]
despejar	dégager	[sound:dégager.mp3]
preguntar	demander	[sound:demander.mp3]
bajar	descendre	[sound:descendre.mp3]
entristecer	désoler	[sound:désoler.mp3]
odiar	détester	[sound:détester.mp3]
destruir	détruire	[sound:détruire.mp3]
convertirse en	devenir	[sound:devenir.mp3]
adivinar	deviner	[sound:deviner.mp3]
deber	devoir	[sound:devoir.mp3]
decir	dire	[sound:dire.mp3]
desaparecer	disparaître	[sound:disparaître.mp3]
dar	donner	[sound:donner.mp3]
dormir	dormir	[sound:dormir.mp3]
escapar	échapper	[sound:échapper.mp3]
escuchar	écouter	[sound:écouter.mp3]
escribir	écrire	[sound:écrire.mp3]
alejar	éloigner	[sound:éloigner.mp3]
besar	embrasser	[sound:embrasser.mp3]
llevar	emmener	[sound:emmener.mp3]
impedir	empêcher	[sound:empêcher.mp3]
llevar	emporter	[sound:emporter.mp3]
quitar	enlever	[sound:enlever.mp3]
oír	entendre	[sound:entendre.mp3]
entrar	entrer	[sound:entrer.mp3]
enviar	envoyer	[sound:envoyer.mp3]
esperar	espérer	[sound:espérer.mp3]
intentar	essayer	[sound:essayer.mp3]
ser	être	[sound:être.mp3]
evitar	éviter	[sound:éviter.mp3]
perdonar	excuser	[sound:excuser.mp3]
existir	exister	[sound:exister.mp3]
explicar	expliquer	[sound:expliquer.mp3]
hacer	faire	[sound:faire.mp3]
hacer falta	falloir	[sound:falloir.mp3]
cerrar	fermer	[sound:fermer.mp3]
dar (coloquial)	filer	[sound:filer.mp3]
acabar	finir	[sound:finir.mp3]
hacer (muy coloquial)	foutre	[sound:foutre.mp3]
golpear	frapper	[sound:frapper.mp3]
ganar	gagner	[sound:gagner.mp3]
guardar	garder	[sound:garder.mp3]
resbalar	glisser	[sound:glisser.mp3]
vivir	habiter	[sound:habiter.mp3]
ignorar	ignorer	[sound:ignorer.mp3]
imaginar	imaginer	[sound:imaginer.mp3]
importar	importer	[sound:importer.mp3]
preocupar	inquiéter	[sound:inquiéter.mp3]
instalar	installer	[sound:installer.mp3]
interesar	intéresser	[sound:intéresser.mp3]
invitar	inviter	[sound:inviter.mp3]
tirar	jeter	[sound:jeter.mp3]
jugar	jouer	[sound:jouer.mp3]
jurar	jurer	[sound:jurer.mp3]
soltar	lâcher	[sound:lâcher.mp3]
dejar	laisser	[sound:laisser.mp3]
tirar	lancer	[sound:lancer.mp3]
levantar	lever	[sound:lever.mp3]
leer	lire	[sound:lire.mp3]
mantener	maintenir	[sound:maintenir.mp3]
comer	manger	[sound:manger.mp3]
faltar	manquer	[sound:manquer.mp3]
caminar	marcher	[sound:marcher.mp3]
casar	marier	[sound:marier.mp3]
mandar	mener	[sound:mener.mp3]
mentir	mentir	[sound:mentir.mp3]
poner	mettre	[sound:mettre.mp3]
subir	monter	[sound:monter.mp3]
mostrar	montrer	[sound:montrer.mp3]
morir	mourir	[sound:mourir.mp3]
nacer	naître	[sound:naître.mp3]
obligar	obliger	[sound:obliger.mp3]
ocupar	occuper	[sound:occuper.mp3]
regalar	offrir	[sound:offrir.mp3]
atreverse	oser	[sound:oser.mp3]
olvidar	oublier	[sound:oublier.mp3]
abrir	ouvrir	[sound:ouvrir.mp3]
parecer	paraître	[sound:paraître.mp3]
hablar	parler	[sound:parler.mp3]
marcharse	partir	[sound:partir.mp3]
pasar	passer	[sound:passer.mp3]
pagar	payer	[sound:payer.mp3]
pensar	penser	[sound:penser.mp3]
perder	perdre	[sound:perdre.mp3]
permitir	permettre	[sound:permettre.mp3]
gustarle a alguien	plaire	[sound:plaire.mp3]
llorar	pleurer	[sound:pleurer.mp3]
llevar algo	porter	[sound:porter.mp3]
colocar	poser	[sound:poser.mp3]
empujar	pousser	[sound:pousser.mp3]
poder	pouvoir	[sound:pouvoir.mp3]
preferir	préférer	[sound:préférer.mp3]
tomar	prendre	[sound:prendre.mp3]
preparar	préparer	[sound:préparer.mp3]
presentar	présenter	[sound:présenter.mp3]
avisar	prévenir	[sound:prévenir.mp3]
rezar	prier	[sound:prier.mp3]
prometer	promettre	[sound:promettre.mp3]
ofrecer algo	proposer	[sound:proposer.mp3]
proteger	protéger	[sound:protéger.mp3]
dejar	quitter	[sound:quitter.mp3]
contar	raconter	[sound:raconter.mp3]
volver a llevar	ramener	[sound:ramener.mp3]
volver a llamar	rappeler	[sound:rappeler.mp3]
recibir	recevoir	[sound:recevoir.mp3]
reconocer	reconnaître	[sound:reconnaître.mp3]
pensar	réfléchir	[sound:réfléchir.mp3]
rechazar	refuser	[sound:refuser.mp3]
mirar	regarder	[sound:regarder.mp3]
reunirse	rejoindre	[sound:rejoindre.mp3]
notar	remarquer	[sound:remarquer.mp3]
devolver	remettre	[sound:remettre.mp3]
volver a subir	remonter	[sound:remonter.mp3]
encontrar	rencontrer	[sound:rencontrer.mp3]
devolver	rendre	[sound:rendre.mp3]
volver	rentrer	[sound:rentrer.mp3]
repetir	répéter	[sound:répéter.mp3]
contestar	répondre	[sound:répondre.mp3]
descansar	reposer	[sound:reposer.mp3]
volver a servirse	reprendre	[sound:reprendre.mp3]
parecer a	ressembler	[sound:ressembler.mp3]
quedarse	rester	[sound:rester.mp3]
memorizar	retenir	[sound:retenir.mp3]
quitar	retirer	[sound:retirer.mp3]
voltear	retourner	[sound:retourner.mp3]
volver a encontrar	retrouver	[sound:retrouver.mp3]
tener éxito	réussir	[sound:réussir.mp3]
despertar	réveiller	[sound:réveiller.mp3]
volver	revenir	[sound:revenir.mp3]
soñar	rêver	[sound:rêver.mp3]
ver de nuevo	revoir	[sound:revoir.mp3]
réir	rire	[sound:rire.mp3]
arriesgar	risquer	[sound:risquer.mp3]
rodar	rouler	[sound:rouler.mp3]
saltar	sauter	[sound:sauter.mp3]
salvar	sauver	[sound:sauver.mp3]
saber	savoir	[sound:savoir.mp3]
parecer	sembler	[sound:sembler.mp3]
sentir	sentir	[sound:sentir.mp3]
separar	séparer	[sound:séparer.mp3]
apretar	serrer	[sound:serrer.mp3]
servir	servir	[sound:servir.mp3]
salir	sortir	[sound:sortir.mp3]
sufrir	souffrir	[sound:souffrir.mp3]
sonreir	sourire	[sound:sourire.mp3]
acordarse	souvenir	[sound:souvenir.mp3]
ser suficiente	suffire	[sound:suffire.mp3]
seguir	suivre	[sound:suivre.mp3]
callar	taire	[sound:taire.mp3]
extender	tendre	[sound:tendre.mp3]
sostener	tenir	[sound:tenir.mp3]
intentar	tenter	[sound:tenter.mp3]
terminar	terminer	[sound:terminer.mp3]
tirar	tirer	[sound:tirer.mp3]
caer	tomber	[sound:tomber.mp3]
tocar	toucher	[sound:toucher.mp3]
girar	tourner	[sound:tourner.mp3]
arrastrar	traîner	[sound:traîner.mp3]
tratar	traiter	[sound:traiter.mp3]
trabajar	travailler	[sound:travailler.mp3]
atravesar	traverser	[sound:traverser.mp3]
engañar	tromper	[sound:tromper.mp3]
encontrar	trouver	[sound:trouver.mp3]
matar	tuer	[sound:tuer.mp3]
utilizar	utiliser	[sound:utiliser.mp3]
valer	valoir	[sound:valoir.mp3]
vender	vendre	[sound:vendre.mp3]
venir	venir	[sound:venir.mp3]
vivir	vivre	[sound:vivre.mp3]
ver	voir	[sound:voir.mp3]
volar	voler	[sound:voler.mp3]
querer	vouloir	[sound:vouloir.mp3]
saludos y cortesía	salutations et courtoisie	[sound:salutations et courtoisie.mp3]
buenos días	bonjour	[sound:bonjour.mp3]
señor	monsieur	[sound:monsieur.mp3]
señora	madame	[sound:madame.mp3]
hola	salut	[sound:salut.mp3]
gracias	merci	[sound:merci.mp3]
hasta luego	au revoir	[sound:au revoir.mp3]
hasta pronto	à bientôt	[sound:à bientôt.mp3]
perdón	pardon	[sound:pardon.mp3]
disculpe	excusez-moi	[sound:excusez-moi.mp3]
por favor	s'il vous plait	[sound:s'il vous plait.mp3]
los pronombres (sujeto)	les pronoms (sujet)	[sound:les pronoms (sujet).mp3]
yo	je	[sound:je.mp3]
tu	tu	[sound:tu.mp3]
el/ella	il /elle	[sound:il _elle.mp3]
impersonal<br> nosotros	on	[sound:on.mp3]
nosotros	nous	[sound:nous.mp3]
vosotros, ustedes	vous	[sound:vous.mp3]
ellos/ellas	ils /elles	[sound:ils _elles.mp3]
