french,spanish
sourire,sonreir
souvenir,acordarse
suffire,ser suficiente
suivre,seguir
taire,callar
tendre,extender
tenir,sostener
tenter,intentar
terminer,terminar
tirer,tirar
tomber,caer
toucher,tocar
tourner,girar
traîner,arrastrar
traiter,tratar
travailler,trabajar
traverser,atravesar
tromper,engañar
trouver,encontrar
tuer,matar
utiliser,utilizar
valoir,valer
vendre,vender
venir,venir
vivre,vivir
voir,ver
voler,volar
vouloir,querer
salutations et courtoisie,saludos y cortesía
bonjour,buenos días
monsieur,señor
madame,señora
salut,hola
merci,gracias
au revoir,hasta luego
à bientôt,hasta pronto
pardon,perdón
excusez-moi,disculpe
s'il vous plait,por favor
les pronoms (sujet),los pronombres (sujeto)
je,yo
tu,tu
il /elle,el/ella
on,impersonal<br> nosotros
nous,nosotros
vous,"vosotros, ustedes"
ils /elles,ellos/ellas
articles et déterminants,articulos y determinantes
le /la /les,el/la/los o las
un /une /des,uno/una/un@s
ce /cette /ces,este/esta/est@s
mon /ma /mes,mi/mis
questions et réponses,preguntas y respuestas
qui,quien
quand,cuándo
où,dónde
pourquoi,por qué
comment,cómo
combien,cuánto
quel /quelle,cuál
oui,sí
non,no
d'accord,de acuerdo
peut-être,tal vez
adjectifs fréquents,adjetivos frecuentes
lourd(e),pesado/a
léger(e),ligero/a
rapide(e),rápido
lent(e),lento
moche,feo/a
sympa,simpático/a
normal(e),normal
célibataire,soltero/a
marié(e),casado/a
divorcé(e),divorciado/a
riche,rico/a
intelligent(e),inteligente
bête,idiota
nul(le),pésimo/a
pire,peor
court(e),corto/a
gauche,izquierdo/a
droit(e),derecho/a
adverbes fréquents,adverbios frecuentes
hier,ayer
aujourd'hui,hoy
demain,mañana
maintenant,ahora
toujours,siempre
souvent,muchas veces
parfois,a veces
jamais,jamás
avant,antes
après,después
ici,aquí
là,allí
là-bas,allá
jusqu'à,hasta
sur,encima
sous,debajo
dans,"en, dentro"
en,en
à,a
partout,por todos lados
un peu,un poco
beaucoup,mucho
très,muy
trop,demasiado
assez,bastante
plus,más
moins,menos
avec,con
sans,sin
aussi,también
comme,como
encore,"aún, todavía"
vraiment,"realmente, de verdad"
presque,casi
les cheveux,el cabello
le nez,la nariz
le cou,el cuello
doigt,el dedo
le dos,la espalda
jambe,la pierna
le coeur,el corazón
gorge,la garganta
la santé,la salud
l'hôpital,el hospital
le froid,el resfriado
la fièvre,la fiebre
la recette,la receta
le médicament,el medicamento
la pharmacie,la farmacia
parents,los padres
le père (papa),el padre (papá)
la mère (maman),la madre (mamá)
la sœur,la hermana
enfants enfants,"los niños, hijos"
le fils / la fille,el hijo/a
les grands-parents,los abuelos
grand-père (grand-père),el abuelo (abuelito)
grand-mère (mamie),la abuela (abuelita)
la tante,la tía
le cousin,el primo/a
le futur,el futuro
mois,el mes
janvier,enero
février,febrero
mars,marzo
avril,abril
mai,mayo
juin,junio
juillet,julio
août,agosto
septembre,septiembre
octobre,octubre
novembre,noviembre
décembre,diciembre
le printemps,la primavera
l'été,el verano
l'automne,el otoño
l'hiver,el invierno
lundi,el lunes
le mardi,el martes
mercredi,el miércoles
jeudi,el jueves
le vendredi,el viernes
samedi,el sábado
le dimanche,el domingo
la fin de semaine,el fin de semana
midi,el mediodía
tard dans l'après-midi,fin de tarde
l'heure,la hora
le deuxième,el segundo
date,la fecha
la fin,el fin
l'heure (la météo),el tiempo (el clima)
le climat,el clima
le nuage,la nube
la pluie,la lluvia
les vêtements,la ropa
chemise,la camisa
la chemise,la playera
pull,el suéter
le pantalon,el pantalón
jupe,la falda
la chaussette,el calcetín
la chaussure,el zapato
la veste,la chaqueta
le manteau,el abrigo
"lunettes, verres","las gafas, lentes"
la montre,el reloj
la bourse,la bolsa
le billet,el billete
monnaie,la moneda
le paiement,el pago
la banque,el banco
l'addition,la cuenta
distributeur automatique,el cajero automático
portefeuille,la cartera
les activités,las actividades
le sport,el deporte
le cinéma,el cinema
la sortie,la salida
le bar,el bar
le restaurant,el restaurante
la télé,el tele
la série,la serie
la chanson,la canción
les transports,los transportes
la moto,la moto
le vélo,la bicicleta
le taxi,el taxi
la station,la estación
l'aéroport,el aeropuerto
géographie et villes,geografia y ciudades
la mer,el mar
la région,la región
la rue,la calle
la mairie,el ayuntamiento
le supermarché,el supermercado
la boulangerie,la panadería
la boutique,la tienda
le salon,el salón
"la chambre, la chambre","la habitación, recámara"
la salle de bain,el cuartos de baño
"les salles de bain, toilettes","los baños, aseos"
le garage,el garaje
"l'appartement, étage","el apartamento, piso"
"le sol, plante","el piso, planta"
la chaise,la silla
l'armoire,el armario
le lit,la cama
le canapé,el sofá
le repas,la comida
soif,la sed
la boisson,la bebida
l'eau,el agua
le vin,el vino
la bière,la cerveza
le thé,el te
café,el café
le jus,el jugo
le fruit,la fruta
légume,la verdura
la viande,la carne
le poisson,el pescado
l'oeuf,el huevo
pain,el pan
"la nourriture, le déjeuner","la comida, almuerzo"
l'assiette,el plato
couteau,el cuchillo
la fourchette,el tenedor
la cuillère,la cuchara
la bouteille,la botella
la réservation,la reservación
le menu,el menú
l'entrée,la entrada
le plat principal,el plato fuerte
le dessert,el postre
les études,los estudios
classe,la clase
le diplome,el diploma
l'entreprise,la empresa
le collègue,el colega
planche,la junta
l'interview,la entrevista
le contrat,el contrato
le salaire,el sueldo
les vacances,las vacaciones
la profession,la profesión
l'employé,el empleado
le directeur,el director
professeur,el profesor
le vendeur,el vendedor
l'ingénieur,el ingeniero
le pompier,el bombero
le retraité,el jubilado
les gens et les relations,la gente y las relaciones
personne,la persona
les gens,la gente
quelqu'un,alguien
la petite fille,la niña
l'homme,el hombre
l'ami,el amigo
sentiment,el sentimiento
le petit ami / petite amie,el novio/a
le couple,la pareja
"le mariage, le mariage","la boda,matrimonio"
femme. épouse,la esposa. esposa
les étapes de la vie,las etapas de la vida
la vie,la vida
l'âge,la edad
la naissance,el nacimiento
l'adolescent,el adolescente
l'adulte,el adulto
la communication,la comunicación
le discours,la platica
le mobile,el móvil
message texte,el mensaje de texto
sonner,el sonido
l'ordinateur,la computadora
le courriel,el correo electrónico
le courrier,el correo
la feuille,la hoja
stylo,la pluma
enveloppe,el sobre
la sonnette,el timbre
la poste,la oficina de correos
l'urgence,la emergencia
fais attention,cuidado
aidez-moi!,ayuda!
la nécessité,la necesidad
au secours,socorro
le passeport,el pasaporte
le vol,el robo
les connecteurs,los conectores
et,y
d'abord,primero
ensuite,"después, luego"
enfin,por último
mais,pero
parce que,porque
donc,pues
alors,entonces
par exemple,por ejemplo
au fait,por cierto
sinon,si no
rien,nada
chose,cosa
"quelque , chose",algo
fois,vez
partie,parte
raison,razón
gros mots,palabrotas
merde,mierda
putain,"joder, puta"
